Country,Region,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Armenia,Caucasus,840.205259177402,792.567859246381,,932.357829471807,995.728275319872,1039.0798243009,1128.09888845227,1180.45341995952,1229.21510436102,1351.12072694555,1535.20452885187,1759.64684829386,1955.22262459229,2240.09273209788,2551.43546358452,2919.3734936373,3141.33193500774,2716.97436280471,2796.08143428043,2943.83687119315,3159.75860786889,3266.29882999873,3393.09252326884,3512.39350276709,3533.88503607007,3815.3747426037,4027.83393010979,4343.45839583019,4032.09043454955,4264.79961505187,4791.00481712183,5197.23509013575,
Azerbaijan,Caucasus,2141.34003837017,1621.91809395607,1284.95555073458,1120.30867792344,1123.44793844504,1177.19685990232,1282.68413749503,1365.56585147028,1504.73106706035,1640.93664540398,1782.47319183639,1949.60608417331,2111.4533834475,2674.3688564996,3556.83212858133,4412.20326117932,4778.12452736673,5118.43395494687,5300.11048729062,5149.20665913206,5193.17501119552,5425.99559780578,5508.60265612676,5500.50364628486,5272.71817141861,5229.25259993413,5261.92938234432,5346.95318604114,5087.50022783627,5349.58226071425,5599.58524971025,5668.61021317029,
Belarus,Eastern Europe,2573.29955103215,2372.48516910385,2097.38187007503,1885.36062660186,1944.68700512976,2175.40374180154,2368.78330877851,2460.36944195798,2615.36376799462,2753.0336970697,2910.39937484153,3137.26261430575,3520.40452642524,3877.71738911289,4291.68647163264,4682.20676719042,5177.64534775676,5200.77418555423,5616.0941173307,5941.68999156239,6052.6373706236,6115.43288098707,6212.91667418659,5967.05595058777,5811.20159182547,5964.89668834561,6165.91320019277,6267.73508743505,6251.98898968645,6457.73053706343,6206.61909685419,6497.78450683592,
Estonia,Baltics,,6706.56000129024,6738.99914418874,7170.94607721168,7637.25708286963,8732.99085657194,9199.93534127632,9133.89593384355,10006.7696280939,10662.9455020331,11474.6622721923,12424.0441535693,13348.5284463324,14703.6179707772,16234.5152041417,17543.4661785723,16688.997772178,14274.8511086787,14657.939813612,15820.922342204,16460.6843479001,16809.5326683781,17413.6867560212,17722.1557669523,18264.9873304279,19270.8141210511,19914.3454922878,20579.8756732376,19946.945696898,21570.6658455268,21023.2994937246,20126.3730486957,
Georgia,Caucasus,,,,,1187.123206219,1354.78352202066,1431.79336069224,1503.46298776734,1561.19867638847,1661.83019106421,1768.5970116888,1977.46143338741,2105.00472843799,2321.60084285163,2554.81253503914,2891.13702331846,2970.15858282428,2887.25607935922,3090.06513662318,3362.1030031968,3609.780798626,3806.50600649051,3960.35080091901,4086.6223465965,4225.09154904806,4442.50744127374,4713.65354845303,4975.81148194814,4659.60925318234,5175.19865185825,5736.30449578597,6180.6206023429,
Kazakhstan,Central Asia,,4223.1282023154,3740.97810892024,3498.51454364229,3583.36908423331,3728.96386519689,3750.56494562659,3899.65723139778,4269.33016782791,4822.52862802669,5267.6990320263,5724.43199248054,6233.29439373307,6787.4115548789,7450.39687062615,8036.87599811505,8216.52181589585,8218.39912556048,8704.70655484556,9223.3021336315,9531.91477617058,9959.72586930534,10226.7100539683,10196.1226255982,10151.423313302,10404.2718646317,10670.2120148279,10989.6840718388,10565.0359816235,10873.3915275276,11058.3482413407,11453.3952725363,
Latvia,Baltics,,4464.7211347223,4639.50565161418,4661.66840092451,4822.90414861125,5317.97997604979,5719.98918281481,5929.26767237825,6336.38296707987,6833.4354323157,7443.22944659059,8149.00183600084,8957.23393555082,10106.2626157732,11507.4648265658,12810.0409502542,12506.6945041012,10675.425174228,10500.8666223014,11018.5152421583,11971.0107466522,12353.5386135301,12731.6771959342,13321.9753140616,13787.3367440023,14382.8612727134,15120.0698171804,15328.3859933295,14900.7295718866,16070.1680032322,16421.3748596,16229.3844520245,
Lithuania,Baltics,,5206.44266110742,4730.69631958508,4924.09667530707,5211.10025197912,5685.44901491024,6154.17245640636,6129.99843995634,6384.30865426374,6854.52512826671,7374.0979710116,8218.69336289848,8851.92598922347,9692.86853763267,10577.2145522871,11889.3545234657,12324.5197331387,10612.9204044582,10884.1161852582,11836.7200384033,12516.6184065667,13145.8069309969,13753.1895982305,14269.8039878287,14823.107153522,15695.9993288456,16604.9021440809,17431.7239081591,17443.65526328,18569.7057246217,18884.5152531698,18685.5523679178,
Moldova,Eastern Europe,,2202.16445303219,1526.42524496526,1511.95831765054,1425.9518091471,1454.80861555923,1360.18161095544,1316.43254916007,1346.91567176561,1432.2768928234,1547.57421231612,1654.36629303195,1781.19145323724,1919.44550763748,2017.17730062908,2082.51260097669,2249.22589719372,2116.94357544097,2269.51116145996,2402.94446306051,2389.08666147529,2605.85029986142,2737.80185056647,2749.55137054338,2910.95486872376,3085.33305844263,3267.9961042872,3438.67732670712,3188.91691602699,3688.16729442144,3611.95484733286,3760.7000642059,
Russia,Eastern Europe,6345.912109375,5798.91455078125,5071.74267578125,4862.646484375,4686.86279296875,4760.33935546875,4515.50927734375,4819.38037109375,5323.66650390625,5618.95556640625,5910.171875,6370.45361328125,6856.67822265625,7323.38525390625,7949.89697265625,8640.40625,9093.7001953125,8381.8681640625,8755.1201171875,9120.8203125,9464.0107421875,9601.537109375,9493.8125,9277.7138671875,9269.3193359375,9418.9140625,9674.787109375,9882.0244140625,9632.3251953125,10231.318359375,10119.0625,10562.0263671875,
Tajikistan,Central Asia,827.586884623268,682.727259317268,528.04821736829,452.904385394465,369.934883507426,371.661243144454,389.089746664022,401.406381787908,429.537300984643,461.681195760256,501.80856647117,546.391479808684,590.957111385699,,,,726.185491338269,739.212878526331,770.604105393791,809.368229154093,849.519080831738,,925.970961482804,956.916310930656,997.352614556708,1042.26391757642,1094.8002018221,1148.34676712493,1171.90127480359,1254.06999592306,1325.75545290849,1407.1075436221,
Turkmenistan,Central Asia,,,2174.38821394629,1981.94402262254,2078.71862628194,1810.78048140778,1906.90538588317,2181.15938103368,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Eastern Europe,,2177.23486328125,1687.48449707031,1493.38208007813,1355.57336425781,1326.27795410156,1311.59362792969,1319.533203125,1409.22265625,1547.2783203125,1644.28125,1814.25854492188,2042.44494628906,2122.6015625,2298.13232421875,2498.35205078125,2567.69409179688,2188.17016601563,2285.93383789063,2418.12084960938,2426.92944335938,2432.41625976563,2308.6435546875,2094.47387695313,2156.0830078125,2217.7529296875,2308.6669921875,2398.07836914063,2324.107421875,2426.6123046875,1874.66296386719,2164.26123046875,
Uzbekistan,Central Asia,,,1169.86899033178,1136.35843596848,1134.17871135102,1172.71784381569,,1238.36591553108,1269.72137546219,1306.60633175114,1341.95995981671,1381.8257280882,,,,,,,,,,,,,,,3108.1618786112,,,,,,
